Тест-кейсы и тестирование: логика кнопки «Забронировать»,,,,,,,,
,,,,,,,,
 id тест-кейса,Название тест-кейса,Предусловия,Номер шага,,ОР,Окружение,Статус,Ссылка на баг- репорт
t-1,"Проверка логики кнопки бронирования при заполнении всех обязательных полей формы бронирования 
","1. Открыть сервис Яндекс.Маршруты
https://{token}.serverhub.praktikum-services.ru/

2. Ввести в поле Откуда """"Хамовнический вал, 18""""
3. Ввести в поле Куда """"Усачева, 3""""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать
7.Выбрать тариф Роскошный",1,"Ввести права \в поле Имя ввести: Иван ,Фамилии: Иванов, дата рождения: 12.12.02,Номер ввести: 83 21 181111","Текст на кнопке ""Забронировать
Маршрут составит 1 км и займет 2 мин""

Появляется окно ""Машина Забронирвана""

","Firefox
1920x1080
",PASSED,
,,,2,Нажать на поле Способ оплаты,,,,
,,,3,"В окне ""Добавление карты"" ввести  Номер карты 888888888888 Код 23",,,,
,,,4,Нажать на кнопку Привязать,,,,
,,,5,Нажать на кнопку Забронировать,,,,
,,,,,,,,
t-2,"Проверка логики кнопки бронирования при заполнении всех обязательных полей и адресов,кроме прав","1. Открыть сервис Яндекс.Маршруты
https://{token}.serverhub.praktikum-services.ru/
2. Ввести в поле Откуда """"Хамовнический вал, 18""""
3. Ввести в поле Куда """"Усачева, 3""""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать
7.Выбрать тариф Роскошный",1,Нажать на поле Способ оплаты,"Текст на кнопке ""Добавить права и забронировать
Маршрут составит .1км и займет2 мин""

При нажатии на кнопку появляется окно «Добавление прав»","Firefox
1920x1080
","FALLED
","https://tracker.yandex.ru/BUG-780798

"
,,,2,"В окне ""Добавление карты"" ввести  Номер карты 888888888888 Код 23",,,,
,,,3,Нажать на кнопку Привязать,,,,
,,,4,Нажать на кнопку Забронировать,,,,
t-3,"Проверка логики кнопки бронирования при заполнении всех обязательных полей и адресов,кроме способа оплаты","1. Открыть сервис Яндекс.Маршруты
https://{token}.serverhub.praktikum-services.ru/

2. Ввести в поле Откуда """"Хамовнический вал, 18""""
3. Ввести в поле Куда """"Усачева, 3""""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать
7.Выбрать тариф Роскошный",1,"Ввести права \в поле Имя ввести: Иван ,Фамилии: Иванов, дата рождения: 03.03.90,Номер ввести: 83 21 181111","Текст на кнопке  ""Добавить оплату и забронировать
Маршрут составит 1 км и займет 2  мин""

При нажатии на кнопку появляется окно «Добавление карты»","Firefox
1920x1080
","FALLED

",https://tracker.yandex.ru/BUG-797076
,,,2,Нажать на кнопку бронирования,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
t-4,"Проверка логики кнопки бронирования при заполнении всех обязательных полей ,
с удаленными полями адреса","1. Открыть сервис Яндекс.Маршруты
https://{token}.serverhub.praktikum-services.ru/

2. Ввести в поле Откуда """"Хамовнический вал, 18""""
3. Ввести в поле Куда """"Усачева, 3""""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать
7.Выбрать тариф Роскошный",1,"Ввести права \в поле Имя ввести: Иван ,Фамилии: Иванов, дата рождения: 12.12.02,Номер ввести: 83 21 181111","Текст на кнопке ""Забронировать""

При нажатии на кнопку появляется окно «Машина забронирована» ,стоимость в нем указана за минуту пользования каршерингом.","Firefox
1920x1080
","skipped

",https://tracker.yandex.ru/BUG-781308
,,,2,Нажать на поле Способ оплаты,,,,
,,,3,"В окне ""Добавление карты"" ввести  Номер карты 888888888888 Код 23",,,,
,,,4,Удалить адрес из поля Откуда,,,,
,,,5,Удалить адрес из поля Куда,,,,
,,,6,Нажать на кнопку бронирования,,,,
t-5,Проверка логики кнопки бронирования при не заполненных обязательных полях и удаленных адресах,"1. Открыть сервис Яндекс.Маршруты
https://{token}.serverhub.praktikum-services.ru/

2. Ввести в поле Откуда """"Хамовнический вал, 18""""
3. Ввести в поле Куда """"Усачева, 3""""
4. Выбрать режим Свой
5. Выбрать вид транспорта Каршеринг
6. Нажать на кнопку Забронировать
7.Выбрать тариф Роскошный",1,Удалить адрес из поля Откуда,"Текст на кнопке ""Добавить права и забронировать""

При нажатии на кнопку появляется окно «Добавление прав»","Firefox
1920x1080
","skipped

","https://tracker.yandex.ru/BUG-781308

 введен один баг репорт на два теста,bug-781552 присвоен статус дубликата"
,,,2,Удалить адрес из поля Куда,,,,
,,,3,Нажать на кнопку бронирования,,,,