Чек-лист и результаты выполнения тестов API Яндекс.Самокат,,,,
,,,,
№,Описание,ОР,Статус,Ссылка на баг-репорт
Создание курьера : POST /api/v1/courier,,,,
Проверка login,,,,
1,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа) латин буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
2,"ввести login(2 символа) латинские буквы,!ранее уже введенный логин!
ввести password (4 символа)целые числа
ввести firstName (2 символа) латин буквы
проверить создание курьера в бд в таб  Couriers""

проверить login на уникальность-залогинется дважды по одному и тому же логину невозможно",код и статутс ответа 409 Сonflict,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
3,"ввести login(10 символов)латин буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
4,"ввести login(1 символ) лат буквы
ввести password (4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091672
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
5,"ввести login(3 символа)лат буквы
ввести password (4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
6,"ввести login(9 символов) лат буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа)лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
7,"ввести login(11 символов) лат буквы
ввести password (4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091700
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
8,"ввести в login кириллические буквы 
ввести password(4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091712
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
9,"ввести в login спец символы
ввести password(4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091724
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
10,"ввести в login цифры
ввести password(4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091738
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
11,"ввести в login мат символы
ввести password (4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091750
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
12,"оставить login пустым
ввести password (4 символа)
ввести firstName (2 символа)","Код и статус ответа 400 Bad Request
",PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись не создана,PASSED,
13,"ввести в login ноль ""0""
ввести password (4 символа) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091738
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
14,"ввести login(1\2)
ввести password (4 символа)
ввести firstName (2 символа)","Код и статус ответа 400 Bad Request
",PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись не создана,PASSED,
15,"ввести login(-1)
ввести password(4 символа)
ввести firstName (2 символа)","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091764
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
Проверка password,,,,
16,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа) латин буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,оптимизация проверок
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
17,"ввести login(2 символа)латин буквы
ввести password (3 символа)целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091803
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
18,"ввести login(2 символа) лат буквы
ввести password (5 символов) целые числа
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091949
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
19,"ввести login(2 символа)лат буквы
ввести password дробные  числа (1\2 1\3 1\4 1\5)
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись не создана,PASSED,
20,"ввести login(2 символа)лат буквы
ввести в password (%)cпец символы 
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091955
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
21,"ввести login(2 символа)лат буквы
ввести в password (=) мат знаки
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091966
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
22,"ввести login(2 символа)лат буквы
ввести в password (раздва) кирилл буквы
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091973
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
23,"ввести login(2 символа)лат буквы
ввести в password (oneone) лат буквы
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091983
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
24,"ввести login(2 символа)лат буквы
оставить password пустым 
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись не создана,PASSED,
25,"ввести login(2 символа)лат буквы
ввести в password (-1)
ввести firstName (2 символа) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1091998
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
Проверка  firstName,,,,
26,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа) латин буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,оптимизация проверок
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
27,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (2 символа) кирилл буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
28,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (3 символа) лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
29,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (1 символ) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1102853
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
30,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (10 символов) лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
31,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (9 символов) лат буквы
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
32,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (11 символов) лат буквы
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1092081
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
33,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
оставить firstName пустым
проверить создание курьера в бд в таб  Couriers",Код и статус ответа 201 Created,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись создана,PASSED,
34,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (-1) отр число
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1092091
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
35,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (%) спец символ
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1092102
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
36,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (-)мат символ
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1092146
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не создана,FAILED,
37,"ввести login(2 символа) латинские буквы
ввести password (4 символа)целые числа
ввести firstName (1\2) дробное число
проверить создание курьера в бд в таб  Couriers","Код и статус ответа 400 Bad Request
",PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись не создана,PASSED,
Удаление курьера : DELETE /api/v1/courier/:id,,,,
38,Удалить курьера  с существующим ID ,Код и статус ответа 200 ОК,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись удалена,PASSED,
39,Удалить повторно удаленного  курьера  ,Код и статус ответа 404 Not Found,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Повторное удаление невозможно,PASSED,
40,"Удалить курьера  с несуществующим ID(""33"")",Код и статус ответа 404 Not Found,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,удаление невозможно,PASSED,
41,При запросе без id(пустое поле) поле message в ответе ссоответствует специификации API,"Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1092187
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись не удалена,FAILED,
42,"При удалении
связанные заказы в таблице Orders должны быть стёрты.
",Код и статус ответа 200 ОК,FAILED,https://tracker.yandex.ru/BUG-1092284
,,Ошибок в структуре ответа нет,FAILED,
,,Учетная запись удалена,FAILED,
43,При успешном удалении курьера запись должна быть удалена из базы Couriers,Код и статус ответа 200 ОК,PASSED,
,,Ошибок в структуре ответа нет,PASSED,
,,Учетная запись удалена,PASSED,
Получение данных о заказе :GET /api/v1/orders/track,,,,
44,"Получение данных о заказе ,с существующим трек номером 

",Код и статус ответа 200 ,FAILED,https://tracker.yandex.ru/BUG-1093377
,,Ошибок в структуре ответа нет,FAILED,
,,Данные о заказе получены,FAILED,
45,"Получение данных о заказе ,с не существующим трек номером 

",Код и статус ответа 404 Not Found,FAILED,https://tracker.yandex.ru/BUG-1093386
,,Ошибок в структуре ответа нет,FAILED,
,,данные о не сущ заказе невозможно получить,FAILED,
46,Получение данных о заказе с путсым трек номером,"Код и статус ответа 400 Bad Request
",FAILED,https://tracker.yandex.ru/BUG-1093393
,,Ошибок в структуре ответа нет,FAILED,
,,не возможно получить данные,FAILED,
47,"При удалении
связанные заказы в таблице Orders должны быть стёрты.
",Код и статус ответа 200 ,FAILED,оптимизация проверок
,,Ошибок в структуре ответа нет,FAILED,
,,данные стерты,FAILED,